Language,code,Samples,Glottocode,Genus,Subfamily,Family,Area,Type_wdef,Type_simp,Type_yn,Exist_Dem,Gender_Dem,Number_Dem,Case_Dem,Def_Dem,Person_Dem,Clf_Dem,Exist_Num,Gender_Num,Number_Num,Case_Num,Def_Num,Person_Num,Clf_Num,Exist_Adj,Gender_Adj,Number_Adj,Case_Adj,Def_Adj,Person_Adj,Clf_Adj,28A,49A,51A,33A,21A,34A,30A,31A,32A,55A,87A,88A,89A,86A,90A
Totonac (Misantla),tot,['Hasp-100'],yecu1235,Totonacan,,Totonacan,North America,none-clf,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,--,--,No case affixes or adpositional clitics,Mixed morphological plural,No case,--,None,No gender,No gender,--,No dominant order,Demonstrative-Noun,--,--,--
Indonesian,ind,"['WALS-174', 'WALS-200', 'WALS-100']",indo1316,Malayo-Sumbawan,,Austronesian,Papunesia,none-clf,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural complete reduplication,No case,"All nouns, always optional",None,No gender,No gender,Optional,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Genitive,Noun-Relative clause
Lango,lan,"['WALS-174', 'WALS-200', 'WALS-100', 'Hasp-100']",lang1324,Nilotic,,Eastern Sudanic,Africa,indeterminate-1ft,indeterminate,concord,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural suffix,No case,"Only human nouns, obligatory",None,No gender,No gender,Absent,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Genitive,Noun-Relative clause
Kayardild,kay,"['WALS-174', 'WALS-200', 'WALS-100', 'Hasp-100']",kaya1319,Tangkic,,Tangkic,Australia,indeterminate-1ft,indeterminate,concord,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Core and non-core,10 or more cases,Case suffixes,No plural,Case + TAM,No nominal plural,None,No gender,No gender,--,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Noun-Relative clause
Passamaquoddy-Maliseet,psm,['WALS-200'],male1292,Algonquian,,Algic,North America,uniform,uniform,concord,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,No case marking,Exclusively borderline case-marking,Case suffixes,Plural suffix,--,--,Two,Non-sex-based,Semantic,--,--,Demonstrative-Noun,--,--,--
Haida,hai,"['WALS-174', 'WALS-200', 'Hasp-100']",nort2938,Haida,,Haida,North America,indeterminate-1cat-clf,indeterminate,concord,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,No case marking,No morphological case-marking,Postpositional clitics,Plural suffix,No case,--,None,No gender,No gender,Optional,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Genitive-Noun,Internally headed
Fijian,fij,"['WALS-174', 'WALS-200', 'WALS-100']",fiji1243,Oceanic,Eastern Malayo-Polynesian,Austronesian,Papunesia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Core cases only,No morphological case-marking,No case affixes or adpositional clitics,--,No case,--,None,No gender,No gender,Absent,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Genitive,Noun-Relative clause
Turkish,tur,"['WALS-174', 'WALS-200', 'WALS-100']",nucl1301,Turkic,,Altaic,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No syncretism,6-7 cases,Case suffixes,Plural suffix,Monoexponential case,"All nouns, always obligatory",None,No gender,No gender,Optional,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun
Burmese,brm,"['WALS-174', 'WALS-200', 'WALS-100']",nucl1310,Burmese-Lolo,Tibeto-Burman,Sino-Tibetan,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,8-9 cases,Case suffixes,Plural word,Monoexponential case,--,None,No gender,No gender,Obligatory,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Genitive-Noun,Relative clause-Noun
Suena,sue,"['WALS-174', 'WALS-200']",suen1241,Binanderean,,Trans-New Guinea,Papunesia,indeterminate-minimal,indeterminate,concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,Core cases only,4 cases,Case suffixes,--,--,"Only human nouns, optional",None,No gender,No gender,Absent,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Genitive-Noun,--
Gumuz,gmz,['Hasp-100'],gumu1244,Gumuz,,Gumuz,Africa,indeterminate-1ft,indeterminate,concord,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,No syncretism*,5 cases*,No case affixes or adpositional clitics,Mixed morphological plural*,Monoexponential case*,"Only human nouns, optional*",None*,No gender*,No gender*,Absent*,No dominant order,Noun-Demonstrative,Noun-Numeral*,Noun-Genitive,Noun-Relative clause
Lezgian,lez,"['WALS-174', 'WALS-200', 'WALS-100']",lezg1247,Lezgic,Daghestanian,Nakh-Daghestanian,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Core and non-core,10 or more cases,Case suffixes,Plural suffix,Monoexponential case,"All nouns, always obligatory",None,No gender,No gender,Absent,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun
Supyire,sup,"['WALS-174', 'WALS-200', 'WALS-100']",supy1237,Gur,,Niger-Congo,Africa,mixed-subsective-crossed,uniform,concord,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False,No case marking,Exclusively borderline case-marking,No case affixes or adpositional clitics,Plural suffix,No case,"All nouns, always obligatory",Five or more,Non-sex-based,Semantic and formal,Absent,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Genitive-Noun,Correlative
Ute,ute,[],utee1244,Numic,,Uto-Aztecan,North America,mixed-subsective,mixed,concord,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False,False,--,--,Case suffixes,Plural suffix,--,--,--,--,--,--,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Noun-Relative clause
Wintu,wnw,[],wint1259,Wintuan,,Wintuan,North America,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Yuchi,yuc,"['WALS-174', 'WALS-200']",yuch1247,Yuchi,,Yuchi,North America,indeterminate-1cat,indeterminate,concord,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,Exclusively borderline case-marking,Case suffixes,Plural word,No case,--,--,--,--,Absent,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Genitive-Noun,Noun-Relative clause
Nenets,nen,"['WALS-174', 'WALS-200']",nene1249,Samoyedic,,Uralic,Eurasia,mixed-subsective,mixed,concord,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Paiwan,pai,"['WALS-174', 'WALS-200', 'WALS-100']",paiw1248,Paiwan,,Austronesian,Papunesia,none-clf,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,No syncretism,No morphological case-marking,No case affixes or adpositional clitics,--,Case + referentiality,--,None,No gender,No gender,--,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Noun-Genitive,Noun-Relative clause
Cree (Plains),cre,"['WALS-174', 'WALS-200', 'WALS-100']",plai1258,Algonquian,,Algic,North America,indeterminate-1cat,indeterminate,concord,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,No case marking,Exclusively borderline case-marking,Case suffixes,Plural suffix,Case + referentiality,"All nouns, always obligatory",Two,Non-sex-based,Semantic,Absent,--,Demonstrative-Noun,--,--,--
Grebo,grb,"['WALS-174', 'WALS-200', 'WALS-100']",barc1235,Kru,,Niger-Congo,Africa,indeterminate-1ft,indeterminate,concord,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural suffix,No case,"All nouns, always obligatory",Three,Non-sex-based,Semantic,--,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Genitive-Noun,Noun-Relative clause
